Nikki Cal 03
Date:,2010/06/08
Time:,15:14:05
Type:,setup
Description:,"MediumWalk"
Notes:,"clean"

FORCE PLATES
960.000000,Hz
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.000000,900.000000,0.000000,600.000000,900.000000,0.000000,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,599.998779,-1382.600708,0.000000,-0.001038,-1382.599121,0.000000,0.001129,-482.599243,0.000000,600.000977,-482.600830,0.000000

,Force Plate 1,,,,,,,,,,,,Force Plate 2
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
10,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,299.999962,-932.599976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
