Nikki Cal 04,,,,,,,,,,,,,,,,,,,,,,,,
Date:,6/8/2010,,,,,,,,,,,,,,,,,,,,,,,
Time:,15:14:51,,,,,,,,,,,,,,,,,,,,,,,
Type:,setup,,,,,,,,,,,,,,,,,,,,,,,
Description:,FastWalk,,,,,,,,,,,,,,,,,,,,,,,
Notes:,clean,,,,,,,,,,,,,,,,,,,,,,,

FORCE PLATES,,,,,,,,,,,,,,,,,,,,,,,,
960,Hz,,,,,,,,,,,,,,,,,,,,,,,
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4,,,,,,,,,,,,,,
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,
1,0,900,0,600,900,0,600,0,0,0,0,0,,,,,,,,,,,,
2,599.998535,-1382.600616,0,-0.000854,-1382.59903,0,0.001373,-482.599457,0,600.000732,-482.601044,0,,,,,,,,,,,,

,Force Plate 1,,,,,,,,,,,,Force Plate 2,,,,,,,,,,,
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
34,,,,300,450,0,0,0,0,0,0,0,274.77622,-981.615109,0,299.999947,-932.600037,0,-19.162531,-39.680995,318.992279,-15635.42971,8046.173944,-386.175306
35,,,,300,450,0,0,0,0,0,0,0,276.137933,-981.468999,0,299.999947,-932.600037,0,-20.06768,-49.454388,320.537048,-15664.31285,7648.659341,-101.295888
36,,,,300,450,0,0,0,0,0,0,0,276.062633,-981.465018,0,299.999947,-932.600037,0,-22.41242,-45.433657,323.487671,-15807.21891,7743.425707,-225.142784
37,,,,300,450,0,0,0,0,0,0,0,278.08352,-980.599687,0,299.999947,-932.600037,0,-25.070119,-61.522082,333.500824,-16007.92293,7309.146349,-55.578408
38,,,,300,450,0,0,0,0,0,0,0,277.254053,-979.814995,0,299.999947,-932.600037,0,-25.28681,-55.388861,327.336884,-15455.19744,7445.569994,-127.884986
39,,,,300,450,0,0,0,0,0,0,0,277.38976,-980.358259,0,299.999947,-932.600037,0,-29.258118,-67.918113,343.052826,-16383.59319,7756.488518,-33.406219
40,,,,300,450,0,0,0,0,0,0,0,278.512154,-977.622029,0,299.999947,-932.600037,0,-28.349309,-65.367998,338.760193,-15251.65894,7279.208775,128.236283
41,,,,300,450,0,0,0,0,0,0,0,277.312768,-981.156819,0,299.999947,-932.600037,0,-31.513568,-70.200684,356.342499,-17302.84514,8084.405863,123.135515
42,,,,300,450,0,0,0,0,0,0,0,279.493096,-975.738412,0,299.999947,-932.600037,0,-31.075184,-72.966844,350.92688,-15138.4156,7196.40519,319.164705
43,,,,300,450,0,0,0,0,0,0,0,278.623832,-979.06732,0,299.999947,-932.600037,0,-31.840964,-71.480995,367.950714,-17097.6701,7865.356807,370.395764
44,,,,300,450,0,0,0,0,0,0,0,279.008977,-974.916756,0,299.999947,-932.600037,0,-32.006488,-77.621955,367.267303,-15541.54756,7709.296625,396.03263
45,,,,300,450,0,0,0,0,0,0,0,278.928359,-976.764922,0,299.999947,-932.600037,0,-31.478659,-74.495621,385.908783,-17043.61716,8131.710893,515.865426
46,,,,300,450,0,0,0,0,0,0,0,278.545516,-973.188999,0,299.999947,-932.600037,0,-33.144047,-79.294705,386.535706,-15689.08314,8292.903621,567.05925
47,,,,300,450,0,0,0,0,0,0,0,279.176434,-975.254094,0,299.999947,-932.600037,0,-30.550235,-78.85638,400.91391,-17100.60473,8348.435904,741.619294
