Nikki Cal 20
Date:,2010/06/18
Time:,14:34:38
Type:,setup
Description:,"jump"
Notes:,""

FORCE PLATES
960.000000,Hz
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.000000,900.000000,0.000000,600.000000,900.000000,0.000000,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,599.998779,-1382.600708,0.000000,-0.001038,-1382.599121,0.000000,0.001129,-482.599243,0.000000,600.000977,-482.600830,0.000000

,Force Plate 1,,,,,,,,,,,,Force Plate 2
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
23,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,293.077430,-643.526722,0.000000,299.999962,-932.599976,0.000000,2.280093,-0.371910,492.273376,142303.066570,3407.778003,-506.429837
24,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.272808,-643.378930,0.000000,299.999962,-932.599976,0.000000,2.051991,-0.503244,494.039001,142886.476343,2829.437430,-408.539012
25,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.351921,-644.010017,0.000000,299.999962,-932.599976,0.000000,1.939790,-0.457005,494.562439,142725.753641,2793.308907,-369.900596
26,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.035845,-643.554992,0.000000,299.999962,-932.599976,0.000000,1.893815,-0.504992,493.438782,142626.004556,2449.487716,-320.673745
27,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.691409,-644.000762,0.000000,299.999962,-932.599976,0.000000,1.916059,-0.192491,493.865112,142529.083241,2621.709092,-326.108802
28,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,293.579949,-642.888293,0.000000,299.999962,-932.599976,0.000000,2.141368,-0.082884,493.677856,143024.242665,3169.418318,-452.854969
29,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.020581,-644.274499,0.000000,299.999962,-932.599976,0.000000,1.457120,-0.012335,493.514252,142292.731674,2950.909574,-375.957681
30,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.269797,-643.490530,0.000000,299.999962,-932.599976,0.000000,1.895619,0.049218,492.813019,142476.898527,2823.899765,-355.619932
31,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.431594,-642.456300,0.000000,299.999962,-932.599976,0.000000,1.813859,-0.217346,492.300140,142837.771993,2741.308314,-452.503600
32,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.440523,-644.215414,0.000000,299.999962,-932.599976,0.000000,2.030938,-0.079813,493.857178,142420.785476,2745.568701,-384.705364
33,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.574517,-643.525937,0.000000,299.999962,-932.599976,0.000000,1.789364,-0.527012,492.475830,142361.977029,2671.900256,-389.184154
34,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.134106,-644.140966,0.000000,299.999962,-932.599976,0.000000,1.544968,0.012198,494.823059,142736.169474,2902.560582,-395.290687
35,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.774553,-643.696401,0.000000,299.999962,-932.599976,0.000000,1.018863,0.142033,492.222168,142204.743579,2572.062047,-375.999752
36,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.523636,-644.089896,0.000000,299.999962,-932.599976,0.000000,1.572239,-0.189839,492.995972,142234.307113,2699.806568,-419.152267
37,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.238746,-643.235917,0.000000,299.999962,-932.599976,0.000000,1.901859,-0.060298,492.639832,142552.261260,2838.204551,-438.253104
38,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.611511,-645.455360,0.000000,299.999962,-932.599976,0.000000,1.540407,-0.072993,496.219910,142486.875368,2673.856751,-307.705163
39,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.313334,-644.577169,0.000000,299.999962,-932.599976,0.000000,1.829795,-0.054909,494.992767,142569.206055,2814.839767,-360.825256
40,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.466916,-642.480790,0.000000,299.999962,-932.599976,0.000000,1.735309,-0.290724,491.092926,142475.479718,2226.146924,-247.391036
41,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.683723,-644.370468,0.000000,299.999962,-932.599976,0.000000,1.877175,0.143146,493.771881,142319.626039,2625.009395,-375.244365
