Nikki Cal 12
Date:,2010/06/18
Time:,14:32:10
Type:,setup
Description:,"standing"
Notes:,""

FORCE PLATES
960.000000,Hz
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.000000,900.000000,0.000000,600.000000,900.000000,0.000000,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,599.998779,-1382.600708,0.000000,-0.001038,-1382.599121,0.000000,0.001129,-482.599243,0.000000,600.000977,-482.600830,0.000000

,Force Plate 1,,,,,,,,,,,,Force Plate 2
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
23,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.917313,-1086.775251,0.000000,299.999962,-932.599976,0.000000,2.337317,0.477219,493.017242,-76011.068973,-945.287195,-484.393176
24,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.746954,-1085.699019,0.000000,299.999962,-932.599976,0.000000,2.089732,0.007975,493.031982,-75482.724667,-861.323129,-459.746406
25,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.821028,-1087.196107,0.000000,299.999962,-932.599976,0.000000,2.725835,0.182135,492.315948,-76110.141277,-896.540066,-386.252725
26,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302.584372,-1086.694912,0.000000,299.999962,-932.599976,0.000000,2.513690,0.541462,492.498627,-75891.544503,-1272.818519,-473.959437
27,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.604597,-1086.452110,0.000000,299.999962,-932.599976,0.000000,2.686117,0.854053,493.699707,-75956.753870,-792.207949,-450.466847
28,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.517606,-1086.619809,0.000000,299.999962,-932.599976,0.000000,1.900114,0.811897,492.757172,-75894.377249,-747.830258,-543.754629
29,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.648961,-1088.741053,0.000000,299.999962,-932.599976,0.000000,2.616971,0.994411,488.822021,-76325.197038,-806.067074,-396.382776
30,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.032448,-1087.372456,0.000000,299.999962,-932.599976,0.000000,1.672970,1.492341,490.746460,-75954.046730,-506.688908,-471.483792
31,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.364956,-1087.363753,0.000000,299.999962,-932.599976,0.000000,2.332108,0.762184,492.310669,-76191.858686,-672.001304,-426.477957
32,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.575024,-1086.910221,0.000000,299.999962,-932.599976,0.000000,2.348873,0.536764,492.144196,-75942.891648,-775.157479,-372.408598
33,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.133490,-1086.812173,0.000000,299.999962,-932.599976,0.000000,2.810945,0.888335,491.692078,-75824.915875,-557.346582,-386.850724
34,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.120119,-1087.268746,0.000000,299.999962,-932.599976,0.000000,2.465975,0.671035,491.698456,-76050.395643,-550.779528,-465.142898
