Nikki Cal 18
Date:,2010/06/18
Time:,14:34:04
Type:,setup
Description:,"jump"
Notes:,""

FORCE PLATES
960.000000,Hz
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.000000,900.000000,0.000000,600.000000,900.000000,0.000000,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,599.998779,-1382.600708,0.000000,-0.001038,-1382.599121,0.000000,0.001129,-482.599243,0.000000,600.000977,-482.600830,0.000000

,Force Plate 1,,,,,,,,,,,,Force Plate 2
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
1,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.239108,-778.225112,0.000000,299.999962,-932.599976,0.000000,2.142860,-1.823607,493.177704,76134.240897,12704.678954,-665.438180
2,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,275.127095,-778.202208,0.000000,299.999962,-932.599976,0.000000,2.317738,-1.824944,493.009369,76119.546060,12262.556629,-620.871988
3,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.850920,-777.378766,0.000000,299.999962,-932.599976,0.000000,1.983391,-1.408061,491.705414,76323.109137,12365.919971,-592.166834
4,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.633548,-777.345693,0.000000,299.999962,-932.599976,0.000000,2.295434,-1.657782,489.608826,76013.866912,12419.619913,-625.514247
5,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.513232,-778.957829,0.000000,299.999962,-932.599976,0.000000,2.267976,-1.574229,492.646881,75691.324217,12555.958028,-811.583059
6,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.243829,-778.649144,0.000000,299.999962,-932.599976,0.000000,2.027133,-1.956965,493.528900,75979.184517,12711.396049,-587.705011
7,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,275.322898,-777.848633,0.000000,299.999962,-932.599976,0.000000,2.381194,-2.206764,492.058502,76146.713685,12142.559034,-586.054971
8,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,275.117701,-778.414421,0.000000,299.999962,-932.599976,0.000000,2.414100,-2.224165,492.051971,75867.306162,12243.365667,-708.023241
9,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,275.628665,-778.407932,0.000000,299.999962,-932.599976,0.000000,2.803550,-1.534959,493.784241,76137.601297,12034.162297,-620.403632
10,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.484076,-777.489414,0.000000,299.999962,-932.599976,0.000000,2.353846,-1.788455,491.699036,76267.713726,12546.136421,-552.670467
11,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.901924,-777.776017,0.000000,299.999962,-932.599976,0.000000,2.254459,-1.786891,490.395752,75925.011350,12307.971087,-649.875945
12,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,275.018622,-777.871367,0.000000,299.999962,-932.599976,0.000000,2.303303,-1.847325,492.051086,76134.380189,12292.095380,-718.118896
13,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.993930,-777.542110,0.000000,299.999962,-932.599976,0.000000,2.248321,-1.897350,491.619781,76229.514048,12293.459944,-591.388683
14,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.758902,-776.854860,0.000000,299.999962,-932.599976,0.000000,2.843882,-1.548695,490.210236,76347.849860,12373.425705,-615.072866
15,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.424360,-777.422705,0.000000,299.999962,-932.599976,0.000000,2.268048,-1.875774,491.875519,76327.900370,12580.012495,-586.828790
16,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.755683,-777.204576,0.000000,299.999962,-932.599976,0.000000,2.637466,-2.031969,492.920685,76597.606991,12443.427070,-532.566399
17,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,275.095349,-777.105365,0.000000,299.999962,-932.599976,0.000000,2.115024,-2.012214,490.407318,76255.694922,12213.404583,-576.512188
18,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.685183,-777.621289,0.000000,299.999962,-932.599976,0.000000,2.234435,-1.786839,490.220123,75973.670966,12409.814012,-684.045741
